trial_index,arm_name,trial_status,generation_method,is_feasible,DamageStats,EconomyStats,SurvivalStats,WavesRemaining,desire_weight,economy_weight,survival_weight,damage_weight,stat_percent_weight,weapon_synergy_weight,armor_desired_wave,armor_undesired_lower,armor_desire_aggr,armor_desire_degr,attack_speed_desired_wave,attack_speed_undesired_lower,attack_speed_desire_aggr,attack_speed_desire_degr,crit_chance_desired_wave,crit_chance_undesired_lower,crit_chance_desire_aggr,crit_chance_desire_degr,dodge_desired_wave,dodge_undesired_lower,dodge_desire_aggr,dodge_desire_degr,elemental_damage_desired_wave,elemental_damage_undesired_lower,elemental_damage_desire_aggr,elemental_damage_desire_degr,engineering_desired_wave,engineering_undesired_lower,engineering_desire_aggr,engineering_desire_degr,harvesting_desired_wave,harvesting_undesired_lower,harvesting_desire_aggr,harvesting_desire_degr,hp_regeneration_desired_wave,hp_regeneration_undesired_lower,hp_regeneration_desire_aggr,hp_regeneration_desire_degr,lifesteal_desired_wave,lifesteal_undesired_lower,lifesteal_desire_aggr,lifesteal_desire_degr,luck_desired_wave,luck_undesired_lower,luck_desire_aggr,luck_desire_degr,max_hp_desired_wave,max_hp_undesired_lower,max_hp_desire_aggr,max_hp_desire_degr,melee_damage_desired_wave,melee_damage_undesired_lower,melee_damage_desire_aggr,melee_damage_desire_degr,percent_damage_desired_wave,percent_damage_undesired_lower,percent_damage_desire_aggr,percent_damage_desire_degr,ranged_damage_desired_wave,ranged_damage_undesired_lower,ranged_damage_desire_aggr,ranged_damage_desire_degr,range_desired_wave,range_undesired_lower,range_desire_aggr,range_desire_degr,speed_desired_wave,speed_undesired_lower,speed_desire_aggr,speed_desire_degr,upgrade_reroll_desired_wave,upgrade_reroll_undesired_lower,upgrade_reroll_desire_aggr,upgrade_reroll_desire_degr,shop_buy_desired_wave,shop_buy_undesired_lower,shop_buy_desire_aggr,shop_buy_desire_degr,take_desired_wave,take_undesired_lower,take_desire_aggr,take_desire_degr,character,start_weapon,difficulty,casename
26,26_0,COMPLETED,BoTorch,False,-22.0,-32.0,-28.0,5.0,3.172028631967259,4.856832372968669,2.8376862883369087,4.20184260921623,1.9511943712422606,3.7856224404088032,4,17,12.991530318562711,16.9587352555856,14,12,6.003643400925255,11.851721344824703,7,19,10.142712001038259,18.5075539172472,2,1,12.74005499578656,10.059419630758304,13,13,14.418946842962765,6.339992929577913,11,16,15.101159593895328,9.608204062488781,14,1,3.161073755431851,15.850244489607473,1,15,6.089479369535375,14.659264207097124,7,11,9.453668481579204,18.443134457863188,17,11,14.262505249722714,8.192401844615564,2,20,12.568372810461748,14.698722299865851,1,10,1.3101263954773157,17.080659194328756,16,5,17.126831614163045,9.898348841749387,16,10,7.511759891543776,9.096102999677669,9,8,11.752626976186042,5.081157860065624,12,14,12.345421694911392,13.843704666037821,16,12,19.720891471630857,10.48578818497302,18,16,8.508186084750301,7.419343260643634,15,19,7.930323061574978,17.566569487287293,well_rounded,stick_1,0,WellRounded_With_Stick_trial_bd1afdc9e198a722748b68fedafdb57a
27,27_0,COMPLETED,BoTorch,False,-52.0,-58.0,-30.0,4.0,2.4396128617227077,3.4235714972019196,5.190004272386432,3.4112129025161266,3.4878229154273868,4.8697455218061805,10,7,11.86301810387522,11.47704810090363,15,10,9.753004078753293,12.904183543287218,2,16,9.82648799335584,11.06778365187347,13,9,4.672234080731869,16.87131538009271,13,12,19.30300383642316,17.238326226361096,12,15,9.825776217505336,15.599025572650135,2,12,11.973241896368563,12.83052070857957,9,14,11.222696826793253,6.108346892055124,9,1,10.048884503543377,4.7098966357298195,20,10,1.0545123424381018,15.76590458350256,12,10,9.873812088742852,19.61176645429805,3,15,17.884119040798396,11.907690869178623,18,10,16.60145021462813,7.936548730358481,1,15,2.6458496772684157,2.8625202174298465,5,2,8.72003800002858,4.73102858569473,0,2,15.664450818207115,9.539601917844266,16,18,5.136594081297517,7.354926305357367,17,10,13.194763941224664,16.283713896293193,8,9,18.139732889365405,12.90581025974825,well_rounded,stick_1,0,WellRounded_With_Stick_trial_906925f55bfcc9d5664b80b33c5e19dd
28,28_0,COMPLETED,BoTorch,False,-27.0,-30.0,-27.0,7.0,3.1838087122887373,1.1730640465393662,1.8930596802383661,4.0265266029164195,1.3185787377879024,5.43723093252629,4,17,9.642930603120476,13.63703159475699,8,18,8.554496949072927,6.247391568031162,18,10,9.308222753927112,9.498476699460298,9,1,18.17607947718352,0.9321080353111029,11,0,19.833316744305193,15.81206446327269,18,15,1.6217913934960961,14.298712794203311,8,7,18.62978512328118,16.063430266920477,12,12,3.715776741504669,12.468785590026528,8,15,7.161669727414846,10.956178531516343,11,5,9.531849403399974,10.452590061817318,12,1,19.31259189825505,16.65330617176369,17,10,7.993886885233223,6.818243500310928,14,4,8.778593835886568,11.43258732650429,8,2,18.324275829363614,18.542334344238043,4,5,14.042314217891544,8.275079444050789,10,2,12.890653191599995,15.876239465549588,6,7,4.12230472266674,8.749246598221362,6,1,6.688026530202478,16.57532103266567,12,6,15.297239040955901,16.570934566203505,well_rounded,stick_1,0,WellRounded_With_Stick_trial_daae9312c244cb0970436f6121ba7aea
29,29_0,COMPLETED,BoTorch,False,-20.0,-30.0,-26.0,5.0,2.6879084705747793,4.506652499663644,4.461474566439373,3.561439869406378,3.185000129279015,3.9783150282649973,7,6,17.128831003376526,7.721812564931148,18,20,16.293288477317333,11.375506876925755,17,4,16.04718044878696,12.366515175755634,12,8,12.261957147687871,4.047102689998635,19,15,15.454293710979718,12.440484044828688,4,0,2.6909606786097484,4.838147441684314,2,13,3.588012581262165,10.496411786186645,16,6,5.963527739635942,15.194054897500314,20,11,5.462914911197812,13.693224804471173,18,11,4.919435132849514,19.841049147535298,10,8,12.89158317901561,14.90789235665054,6,11,13.506995645693705,10.61556487937203,3,17,7.645634801610509,10.565199972288351,17,13,8.709363157108235,4.411393452304864,14,5,13.075807741848491,1.8443636092739695,3,5,7.367239790109937,17.06833716984744,15,7,9.443643821963773,3.009248363301209,2,18,8.83961501702064,8.706482697528834,19,10,18.15016378357891,0.6471786216245258,well_rounded,stick_1,0,WellRounded_With_Stick_trial_2be41d4c0cd49fbc806312e5b620208c
30,30_0,COMPLETED,BoTorch,False,-67.0,-57.0,-26.0,3.0,4.7933185798007525,1.3488958399242161,1.7953083315833318,1.882650354170683,4.534846410774472,3.9804909996811375,4,4,13.419248132183638,11.14899571530539,11,14,5.517241000138866,19.815000728844925,10,11,15.383785752475076,17.435776418251347,4,19,18.266896719190353,7.464331128852686,18,18,13.425765196162,17.8782188312766,6,11,3.1372236975419563,5.555509898746429,17,14,18.66927739109987,14.581944599089155,9,6,12.371133505795871,8.542857416275039,18,7,6.147403040346215,19.414037686139306,5,15,8.657691772371587,12.330127717554458,20,7,0.827356556402326,12.46113201883063,5,10,9.689757241885715,12.591250269415788,9,8,14.101380564445064,11.676435733426732,3,18,10.278480667802118,2.389210415246573,14,13,2.215843853090724,2.8614794898117246,7,6,7.4256799737332795,10.657728027330831,4,2,19.65893253850581,7.258848592851339,8,10,8.432716764386207,13.415009600149212,2,16,4.437436279221761,19.53375676100149,well_rounded,stick_1,0,WellRounded_With_Stick_trial_e5a1f8abd4734235020ff3abc5ceea40
31,31_0,COMPLETED,BoTorch,False,-89.0,-83.0,-30.0,5.0,1.414984452619246,3.197396962274243,4.7625569235499405,3.8685489820290466,5.403871807521459,4.116437373402707,2,6,10.911944635557223,1.918998346658714,14,10,16.851643436750635,11.47043220696248,6,13,18.760542321731528,17.004702681143225,6,5,14.552151409736757,1.8982199169208858,4,10,16.92689045958072,5.502568214042645,11,11,10.998084578337934,5.13400748581303,7,4,12.478627661188082,9.73309224619036,11,8,6.0367125763176395,5.699871693347453,1,0,7.047922555281012,6.234457890478564,19,18,7.977924275995255,19.695041235445427,8,13,18.542265737215736,3.4774376757314953,5,11,15.223233236227047,8.427036137557835,16,2,11.778735516252258,8.291917423083678,12,7,14.56733656292808,5.438656334780819,6,1,16.731488836578936,6.5220621433339705,13,5,3.8723626637893935,10.254500843386296,3,7,5.586887080516402,17.929480159645312,15,0,6.7154375140818745,6.5710451373956005,10,8,7.9471056178948665,7.037410067253503,well_rounded,stick_1,0,WellRounded_With_Stick_trial_783543d6cc3af8ec5683ac181b28cb64
32,32_0,COMPLETED,BoTorch,False,-30.0,-31.0,-18.0,9.0,5.282056423276495,2.2859579418190403,2.4506003233677567,1.0051183381190005,5.390899568508751,4.455559163886766,16,15,10.005517390880696,6.889342908724951,3,8,4.1608634910122415,16.09540631615649,18,1,2.296115893183398,17.818601169775352,5,20,15.507190812779605,16.13106054607927,10,8,10.68470022165298,8.406639740965339,19,6,5.769115000103744,5.334998017378631,3,13,4.235123624889999,6.9717203846095535,10,13,15.519609774726318,10.732280443149536,17,16,8.639762360687815,17.08760107461723,8,18,9.723997442417428,6.7825561821440274,3,8,11.912557450730135,9.978168726546587,2,4,5.86861341131896,14.187751235164521,10,14,1.493004457906014,14.077361295073176,8,7,5.893366640594539,17.78857789002735,7,3,11.54705279145816,0.9684982816486427,7,16,8.188572556634224,17.449334893053205,3,8,15.986556445097683,1.9972816931973931,1,15,13.6684874184097,13.653100878612793,6,9,12.293899728423995,9.725899001339018,well_rounded,stick_1,0,WellRounded_With_Stick_trial_6865b468d1d41f699a89a18eeb72bdf0
33,33_0,COMPLETED,BoTorch,False,-79.0,-106.0,-24.0,4.0,1.9661882775053678,4.024071908899312,5.384779750095568,5.5211962834338175,2.1797408342606377,5.4480540801384345,12,16,1.7358964191183366,6.311855881218071,6,16,10.471652211741437,6.7327850248317,4,20,15.39926753926168,11.224420621888,9,0,17.058921872553626,15.120578773969443,16,14,12.250204935636551,13.447537149732746,8,7,1.6588238671560225,10.792956984940522,4,7,14.636338770862093,9.266435850609271,11,17,4.910077742429069,6.412567318558024,19,2,16.22409767136549,14.910914475769756,18,5,15.787877099414068,8.41322151216415,13,18,1.7259665779623445,8.535865431966311,15,5,13.78317498124588,11.02960959092597,13,10,15.36787579101159,5.3010799654663145,16,16,17.322778029886607,2.1170634980600003,11,11,17.570244654285855,14.80026402192438,18,8,18.057476965294764,13.573737601997786,7,6,7.151772223797851,3.6864510225467733,4,18,17.938020502978194,12.274012046872652,1,7,16.43403528077478,19.68056399761978,well_rounded,stick_1,0,WellRounded_With_Stick_trial_d837351672d86b232adeaf17d937c746
34,34_0,COMPLETED,BoTorch,False,-33.0,-81.0,-28.0,4.0,2.256818803271222,1.7647388110151458,5.469681749645863,2.913596488374663,2.382701694356273,5.578110310562427,4,13,14.285901724830993,11.42014987272304,15,8,10.598139825960741,15.953555919579676,10,10,15.284002899112934,14.741471304064,8,8,18.35893179867355,7.072218148571204,18,6,6.666609851944227,14.335881522613068,10,2,15.994136274264399,1.8949319367686575,13,15,18.761061063555953,2.7354905741710294,19,14,9.620625444914566,7.816732113804615,12,5,1.7411012648115676,2.370323527925086,0,6,17.514781562501792,13.242315326631584,4,17,4.341479385456347,10.983027274605325,2,5,14.187082579159574,8.929638998574069,14,10,5.11987009332376,4.914376129827526,13,16,15.478458718437196,16.772180830479567,12,4,9.278391726619065,12.417209952826369,14,14,4.125347909990606,5.239868827808983,20,0,12.770730765987874,12.567363126418272,5,10,13.810540093643977,7.087661766597588,10,6,2.0926838092042592,14.148681268723553,well_rounded,stick_1,0,WellRounded_With_Stick_trial_36e68becab0a1b49490c816f4bd82562
35,35_0,COMPLETED,BoTorch,False,-44.0,-46.0,-15.0,8.0,2.085374318063259,1.528273624368012,3.6435262197628617,3.673391089774668,3.42835343349725,1.5500559089705348,15,18,4.942837409675121,0.9604821996763349,13,19,5.784060194622725,19.39771571708843,10,18,8.419071464333683,13.357895146124065,9,14,14.467882697936147,4.056760887149721,4,16,12.891402723733336,12.359725940506905,11,1,17.363930628169328,1.4936198005452752,13,12,8.887452118564397,9.94619754794985,18,13,5.8554243999533355,1.3320097252726555,1,10,3.971699414309114,10.636370702646673,9,12,6.416725899558514,16.502005777321756,7,13,17.425453247036785,1.2669782601296902,18,12,8.981573428492993,0.6645716642960906,7,1,11.460790543351322,12.626772896386683,8,14,3.7051029368303716,8.578885419294238,0,7,13.723723924718797,17.594960051588714,12,15,8.007295051123947,8.549322213511914,13,5,3.221909415908158,10.1322127468884,13,8,17.69099830556661,8.602890315465629,3,5,4.2399474340491,19.093419146258384,well_rounded,stick_1,0,WellRounded_With_Stick_trial_c5b06babe8c2016f5caaa069a4ffd8cd
36,36_0,COMPLETED,BoTorch,False,-37.0,-34.0,-23.0,4.0,3.9235146241262555,2.1171605391427875,2.7332020262256265,1.3103992948308587,5.203233690932393,2.053971010260284,11,14,12.555872753728181,7.6401600213721395,5,2,10.092886500060558,13.622207886073738,11,8,17.846296743489802,18.543421667069197,4,5,13.238127331715077,5.31081415573135,18,18,5.088991817086935,6.75584202632308,19,15,8.841756301466376,10.778233206830919,7,5,16.27440124284476,7.3487986186519265,5,8,14.904353300109506,17.188096222933382,14,2,9.715810362715274,18.635633061174303,11,18,4.340256633702666,10.415152137633413,18,2,15.335217030718923,16.056032596156,2,7,8.838879614137113,4.291474517434835,16,4,18.60823694616556,3.409325447399169,3,20,2.256686063017696,1.9118114039301872,11,6,6.815551689825952,12.380373415071517,3,3,19.834244488272816,14.730568721424788,4,1,6.677010267507285,7.170635927468538,5,18,11.241482366342098,6.223053112626076,3,19,10.074626206886023,9.460016141179949,well_rounded,stick_1,0,WellRounded_With_Stick_trial_4edc32e34985307949539f09ce0c2cf2
37,37_0,COMPLETED,BoTorch,False,-21.0,-23.0,-23.0,10.0,2.0617648204788566,1.2193477377295494,4.292434522882104,5.087866633199155,1.9222991252318025,5.9974470073357224,4,5,11.072636868804693,16.116593528538942,10,10,12.511204347014427,15.017381627112627,17,8,13.576051801908761,16.393535972107202,2,2,4.680985020939261,10.632825262378901,7,19,15.960218192078173,12.708738372195512,10,6,4.642443229444325,19.140754592139274,6,17,7.04739626031369,17.590832158457488,20,5,8.594253116287291,15.892540663480759,8,5,6.494845737237483,14.859837262425572,5,8,4.63325261650607,17.13647822663188,14,1,5.0605611726641655,1.6994332210160792,4,12,8.165217941161245,0.9718404118902981,19,4,14.246265993919224,17.396483263466507,20,6,13.55270071234554,5.575605759397149,3,3,11.154852963518351,18.371868177782744,6,2,4.817038396839052,12.355417038779706,6,6,10.856386206112802,17.862887224648148,18,4,9.511993920896202,19.630535522010177,16,13,6.095986240543425,11.211915564723313,well_rounded,stick_1,0,WellRounded_With_Stick_trial_45053df7a4dd78a348cb7f8a99d32d35
